Tempo,Acc_Y,Velocidade,Distancia
6.579942226409912,0.14,0.021624028682708667,0.0011922014958713522
6.583987474441528,0.08,0.021947648525237964,0.0012809851778666755
6.587710618972778,0.06,0.022171037197112966,0.001363531153759247
6.591797590255737,-0.02,0.022089297771453787,0.0014538094794119085
6.595746278762817,-0.05,0.021891863346099782,0.0015402536286052203
6.600254774093628,-0.08,0.021531183719634937,0.0016373268698720185
6.604429721832275,-0.1,0.02111368894577019,0.0017254754177906677
6.612253665924072,-0.17,0.01978361845016472,0.0018802613424781975
6.61631441116333,-0.17,0.019093291759490892,0.0019577943360923108
6.620100259780884,-0.07,0.018828282356262133,0.0020290753628216768
6.62485671043396,0.02,0.018923411369323656,0.0021190836351877252
6.628455877304077,-0.02,0.018851428031921313,0.002186933070414615
6.632866144180298,-0.27,0.01766065597534172,0.0022648212764749937
6.637109041213989,-0.45,0.01575135231018059,0.0023316526424684873
6.641053676605225,-0.61,0.013345124721527026,0.0023842942937454727
6.6452507972717285,-0.67,0.010533053874969408,0.0024285027918455057
6.649234771728516,-0.59,0.008182508945465013,0.0024611016984766704
6.653431177139282,-0.42,0.006420018672943041,0.0024880426995730312
6.661386728286743,-0.48,0.0026013541221617913,0.0025087379053445476
6.665422439575195,-0.65,-2.185821533210548e-05,0.0025086496918981863
6.669724941253662,-0.94,-0.0040662097930908945,0.0024911548174384145
6.673820734024048,-1.17,-0.008858287334442213,0.0024548731082160062
6.677983283996582,-1.39,-0.014644231796264721,0.0023939157615546804
6.681873083114624,-1.51,-0.020517828464508128,0.0023141055304893
6.685840368270874,-1.71,-0.027301886081695627,0.0022057911630997606
6.689979791641235,-1.79,-0.03471145391464241,0.0020621057595462695
6.694125413894653,-1.66,-0.04159318685531623,0.0018896761185282988
6.702104330062866,-1.63,-0.05459882020950324,0.0014540367091933446
6.705612182617188,-1.58,-0.06014122724533228,0.0012430701515807351
6.710359573364258,-1.58,-0.06764210462570197,0.0009219466499683757
6.713463306427002,-1.61,-0.07263911485672003,0.0006964942275391046
6.7188639640808105,-1.64,-0.08149619340896613,0.0002563611868487062
6.722975015640259,-1.64,-0.08823831796646125,-0.0001063910878304042
6.72709584236145,-1.63,-0.09495526552200324,-0.0004976852833113002
6.730916500091553,-1.62,-0.10114473104476936,-0.0008841246818366406
6.735278844833374,-1.58,-0.108037235736847,-0.001355420349074182
6.739359617233276,-1.48,-0.11407677888870246,-0.0018209417198329614
6.743271589279175,-1.19,-0.11873202562332161,-0.0022854180850242927
6.747536659240723,-0.99,-0.12295444488525398,-0.0028098273945431802
6.755640745162964,-0.67,-0.12838418245315558,-0.003850263840200246
6.759820461273193,-0.46,-0.13030685186386115,-0.004394909488208914
6.763775587081909,-0.28,-0.1314142870903016,-0.004914669526713756
6.768017053604126,-0.17,-0.13213533639907846,-0.0054751171324523016
6.772240877151489,-0.11,-0.13259995698928842,-0.0060351959531630165
6.775939464569092,-0.08,-0.13289584398269663,-0.006526722849569088
6.780320405960083,-0.05,-0.1331148910522462,-0.00710989138553716
6.784274339675903,-0.03,-0.1332335090637208,-0.007636687849101257
6.788516998291016,-0.03,-0.13336078882217417,-0.008202492148715827
6.792522668838501,-0.02,-0.13344090223312388,-0.008737012440620924
6.7970521450042725,-0.05,-0.13366737604141246,-0.009342455634541716
6.800806283950806,-0.04,-0.13381754159927378,-0.009844825279188877
6.808421850204468,-0.04,-0.13412216424942028,-0.010866241507114889
6.812974691390991,-0.03,-0.13425874948501598,-0.011477500271421403
6.816832304000855,-0.04,-0.13441305398941056,-0.011996013763421307
6.821106433868408,-0.02,-0.1344985365867616,-0.01257087797578893
6.825239658355713,-0.03,-0.13462253332138074,-0.013127303127055852
6.829501867294312,-0.02,-0.13470777750015273,-0.013701455820415879
6.833564281463623,-0.03,-0.13482964992523205,-0.014249189700715334
6.837175607681274,-0.03,-0.1349379897117616,-0.014736494800718588
6.841739892959595,-0.02,-0.135029275417328,-0.015352806934648158
6.846292018890381,-0.04,-0.13521136045455945,-0.01596830607471023
6.849935531616211,-0.05,-0.13539353609085095,-0.016461614146452377
6.853630304336548,-0.03,-0.13550437927246106,-0.016962272030474453
6.8579864501953125,-0.04,-0.13567862510681164,-0.017553307911356373
6.862135410308838,-0.04,-0.13584458351135265,-0.018116921669983445
6.86660361289978,-0.04,-0.13602331161499034,-0.018724701383370106
6.873759746551514,-0.04,-0.13630955696105967,-0.019700150790992015
6.878607034683228,-0.04,-0.13650344848632825,-0.02036182233677793
6.88271164894104,-0.03,-0.1366265869140626,-0.02092262177342153
6.886520624160767,-0.03,-0.1367408561706544,-0.02144346430609975
6.890858888626099,-0.02,-0.13682762145996105,-0.0220370587141554
6.895026445388794,-0.03,-0.13695264816284192,-0.022607816649175484
6.899044513702393,-0.04,-0.13711337089538586,-0.02315874754014093
6.903184413909912,-0.05,-0.13732036590576183,-0.02372724015145085
6.907117128372192,-0.05,-0.13751700162887584,-0.02426805525256615
6.911387205123901,-0.06,-0.13777320623397837,-0.02485635741751427
6.915257930755615,-0.07,-0.13804415702819833,-0.02539068847443165
